vacancy_id,vacancy_name,role_group,employer_name,area,experience,schedule,salary_from,salary_to,salary_currency,hard_skills,soft_skills,tools,vacancy_url
134632681,Business Development Manager (High-Risk / iGaming),BDM,Дорошенко Софья Дмитриевна,Москва,От 1 года до 3 лет,Удалённо,150000.0,,RUB,"business development, комплаенс, лицензирование","переговоры, планирование, развитие",,https://hh.ru/vacancy/134632681
134470566,Менеджер по развитию бизнеса / Senior B2B Sales Manager,BDM,Лифтуум,Москва,От 3 до 6 лет,Удалённо,200000.0,350000.0,RUB,"воронка продаж, выполнение плана, коммерческое предложение, отели, отчётность, план продаж, ту, холодные звонки","переговоры, принятие решений, развитие, руководство, сервис",,https://hh.ru/vacancy/134470566
131819656,Business Development Manager (Senior Sales Manager),BDM,Бизнес Трэвел Джоб,Москва,От 3 до 6 лет,"Удалённо, Гибрид",150000.0,250000.0,RUB,"b2b продажи, business development, saas, активные продажи, аудит, больничные, заключение договоров, информационная безопасность, командировки, корпоративные продажи, развитие бизнеса, сертификация, холодные продажи","аналитическое мышление, переговоры, презентации, развитие, руководство",,https://hh.ru/vacancy/131819656
134473490,Business Development Manager,BDM,ONMYADS,Минск,От 3 до 6 лет,Удалённо,1250.0,,USD,"b2b продажи, business development, saas, активные продажи, воронка продаж, выполнение плана, отчётность, проведение переговоров, развитие бизнеса, холодные продажи, цикл сделки","взаимодействие, деловая переписка, переговоры, презентации, принятие решений, развитие",telegram,https://hh.ru/vacancy/134473490
134727492,Директор по развитию и операционной деятельности,BDM,Лебедева Ольга Викторовна,Москва,Более 6 лет,Удалённо,1000.0,3000.0,USD,business development,"аналитическое мышление, лидерство, мотивация, планирование, развитие, руководство, стратегическое мышление, управление командой",monday,https://hh.ru/vacancy/134727492
134134722,"Sales Manager (B2B SaaS, FinTech)",Enterprise/SaaS Sales,Combo Cards,Москва,От 3 до 6 лет,Удалённо,3000.0,6000.0,USD,"business development, go, outbound, saas, выполнение плана, гибка, инвойс, контроль дебиторки, корпоративные продажи, презентации, работа с ключевыми клиентами, сверки, цикл сделки","контроль, ориентация на результат, переговоры, планирование, развитие, самостоятельность, сервис",telegram,https://hh.ru/vacancy/134134722
134715358,Head of Business Development,BDM,Sputnik8,Москва,Более 6 лет,"На месте работодателя, Удалённо, Гибрид",,,RUB,"business development, unit-экономика, ведение переговоров, гибка, командировки, работа с поставщиками, развитие бизнеса, ту","обратная связь, ответственность, переговоры, принятие решений, развитие, сервис, управление командой",,https://hh.ru/vacancy/134715358
134846961,Business Development Manager,BDM,Бонакер Александр Александрович,Москва,От 3 до 6 лет,Удалённо,,,RUB,"business development, активные продажи, заключение договоров, отчётность, переговоры, работа с ключевыми клиентами, ту","активность, креативность, презентации, принятие решений, развитие, управление командой",,https://hh.ru/vacancy/134846961
134799873,Специалист по развитию B2B-коммуникаций / Международные поставки и ВЭД,BDM,Апрель,Москва,От 1 года до 3 лет,Удалённо,120000.0,250000.0,RUB,"business development, ведение переговоров, вэд, гибка, развитие бизнеса, сертификация, сопровождение клиентов, таможенное оформление, ту","взаимодействие, деловое общение, нетворкинг, переговоры, презентации, работа с клиентами, развитие, телефонные переговоры",,https://hh.ru/vacancy/134799873
134614543,Partnership Manager,Прочее,ЧАСТНАЯ КОМПАНИЯ COLLECT&amp;PAY LTD.,Кипр,От 1 года до 3 лет,"На месте работодателя, Удалённо",,,RUB,"b2b продажи, lead generation, pipeline, saas, ту","активность, ориентация на результат",,https://hh.ru/vacancy/134614543
134768190,"Business Development manager (IT, fintech, B2B)",BDM,АпТрейдер (UpTrader),Санкт-Петербург,От 1 года до 3 лет,Удалённо,,,RUB,"b2b продажи, saas, выявление потребностей, гибка, презентация продукта, тёплые продажи, холодные продажи","нетворкинг, презентации",,https://hh.ru/vacancy/134768190
134739991,Sales Manager / Business Development Manager (iGaming),BDM,HR ME,Москва,От 1 года до 3 лет,Удалённо,,,RUB,"b2b продажи, business development, outbound, воронка продаж, командировки, коммерческое предложение, комплаенс, лидогенерация, презентация продукта, упаковка","нетворкинг, обратная связь, переговоры, презентации",sales navigator,https://hh.ru/vacancy/134739991
134746710,Country sales manager,Sales (общее),Хайер Мидл Эйжа,Бишкек,От 3 до 6 лет,Удалённо,,,RUB,,,"excel, powerpoint, word",https://hh.ru/vacancy/134746710
134148021,Business Development Manager (Affiliates &amp; Partnerships),BDM,ЧК XCHIEF CENTRAL ASIA LTD.,Алматы,От 3 до 6 лет,"На месте работодателя, Удалённо, Гибрид, Разъездной",1500.0,,USD,"business development, переговоры","внимательность, внимательность к деталям, коллаборация, контроль, развитие",,https://hh.ru/vacancy/134148021
134383977,Менеджер по развитию международного бизнеса (Business Development Manager),BDM,StableGrowz,Минск,От 1 года до 3 лет,Удалённо,800.0,,USD,"b2b продажи, business development, корпоративные продажи, отчётность, презентации, проведение переговоров, развитие бизнеса, счета, холодные продажи, цикл сделки","грамотная речь, деловая переписка, деловое общение, организация, переговоры, профессиональный рост, развитие","linkedin sales navigator, sales navigator",https://hh.ru/vacancy/134383977
134064093,Sales Manager (В2С/B2B),Sales (общее),Губанова и Партнеры,Минск,От 1 года до 3 лет,Удалённо,2000.0,,USD,"inbound, outbound, активные продажи, холодные продажи",развитие,monday,https://hh.ru/vacancy/134064093
134122001,Chief of Staff основателя Tranio Capital,Прочее,Assisteca,Москва,Более 6 лет,Удалённо,350000.0,,RUB,"business development, claude, go, аудит, зарплата, отели, ту","аналитическое мышление, контроль, мотивация, развитие",,https://hh.ru/vacancy/134122001
134808705,Sales / Business Development Manager (iGaming B2B),BDM,Зенит-Брокер,Москва,От 3 до 6 лет,Удалённо,,,RUB,"b2b sales, pipeline, sales pipeline, переговоры, цикл сделки",самостоятельность,,https://hh.ru/vacancy/134808705
134269495,Sales Manager (Web3 / Crypto),Sales (общее),Motion Trade,Москва,От 1 года до 3 лет,Удалённо,3000.0,5000.0,USD,"b2b продажи, business development, pipeline, холодные продажи",,,https://hh.ru/vacancy/134269495
134660696,Менеджер по развитию бизнеса / Business Development Manager (PSP),BDM,HR ME,Москва,От 1 года до 3 лет,Удалённо,,,RUB,"business development, go, ведение переговоров, заключение договоров, мониторинг, переговоры, проведение переговоров","нетворкинг, ответственность, развитие",,https://hh.ru/vacancy/134660696
134434472,Event Manager (со знанием английского языка),Прочее,BGS Group,Тбилиси,Нет опыта,Удалённо,56000.0,110000.0,RUB,"визы, командировки, отели, подарки, счета, ту","контроль, наставничество, организация, ответственность, переговоры",,https://hh.ru/vacancy/134434472
131317747,Senior Project Manager,Прочее,Syberry CIS,Минск,Более 6 лет,"Удалённо, Гибрид",,,RUB,,,,https://hh.ru/vacancy/131317747
134788312,Senior Sales Manager (FinTech / Payment Solutions),Sales (общее),Spayz.io,Кипр,От 3 до 6 лет,Удалённо,,,RUB,"business development, ведение переговоров, полный цикл продаж, развитие бизнеса","ориентация на результат, переговоры, развитие, сервис",,https://hh.ru/vacancy/134788312
134413582,Business Development Manager — продажи IT-команд и разработчиков (Full-cycle / 360 Sales),BDM,Хайруллина Айгуль Исмагыловна,Москва,От 3 до 6 лет,Удалённо,,,RUB,"b2b продажи, business development, outbound, saas, активные продажи, воронка продаж, допродажи, коммерческое предложение, развитие клиентов, ту, цикл сделки","деловая переписка, деловое общение, инициативность, мотивация, нетворкинг, переговоры, презентации, принятие решений, развитие, самостоятельность",,https://hh.ru/vacancy/134413582
133110216,Affiliate manager l Business development manager,BDM,To The Stars co LTD,Москва,От 1 года до 3 лет,Удалённо,,,RUB,"b2b продажи, ведение переговоров, заключение договоров, переговоры, работа с ключевыми клиентами","взаимодействие, деловая переписка, ориентация на результат, ответственность, профессиональный рост, развитие",,https://hh.ru/vacancy/133110216
134795358,Sales manager ASO (Менеджер по развитию бизнеса),BDM,Тулидс,Москва,От 1 года до 3 лет,"Удалённо, Гибрид",,,RUB,"upsell, коммерческое предложение, корпоративы, отчётность, ту","гибкость, переговоры, развитие, самостоятельность, системное мышление",,https://hh.ru/vacancy/134795358
134757977,Program Manager,Прочее,GP Solutions,Минск,От 3 до 6 лет,"На месте работодателя, Удалённо, Гибрид",,,RUB,enterprise,,,https://hh.ru/vacancy/134757977
134809912,Senior Operations Coordinator,Прочее,Motheretreat INC,Колумбия,От 3 до 6 лет,Удалённо,1200.0,1500.0,USD,переговоры,"аналитическое мышление, развитие, управление временем",microsoft office,https://hh.ru/vacancy/134809912
134661262,Affiliate manager - AI companion / AI girlfriend,Прочее,Болдырева Анастасия Максимовна,Тбилиси,От 1 года до 3 лет,Удалённо,3000.0,,USD,"business development, гибка",переговоры,,https://hh.ru/vacancy/134661262
134695126,Closer / Business Development Manager (B2B iGaming),BDM,HR ME,Сербия,От 3 до 6 лет,Удалённо,,,RUB,"b2b продажи, business development, enterprise, saas, коммерческое предложение, лицензирование, полный цикл продаж",переговоры,,https://hh.ru/vacancy/134695126
134805271,Delivery Manager,Прочее,Andersen,Сербия,Более 6 лет,Удалённо,,,RUB,"aws, business development, enterprise, microservices, pipeline, security, solid",,access,https://hh.ru/vacancy/134805271
134674268,Менеджер по развитию бизнеса (BDM/Business Development Manager),BDM,Фабрика десертов,Оренбург,От 3 до 6 лет,"На месте работодателя, Удалённо",100000.0,300000.0,RUB,"b2b продажи, ведение переговоров, заключение договоров, мониторинг, отчётность, план продаж, презентации, развитие бизнеса, ту, холодные продажи","деловое общение, ответственность, переговоры, развитие, телефонные переговоры",,https://hh.ru/vacancy/134674268
134040117,P2P Business Development Manager,BDM,Selecty,Минск,От 3 до 6 лет,Удалённо,,,RUB,"account management, business development, ведение переговоров, заключение сделок, командировки, переговоры, презентации","организация, ориентация на результат, ответственность, публичные выступления, развитие, самостоятельность",,https://hh.ru/vacancy/134040117
134682353,Project Manager,Прочее,Magnetto.com,Тбилиси,От 1 года до 3 лет,Удалённо,,,RUB,solid,,"access, telegram",https://hh.ru/vacancy/134682353
133603360,Менеджер по продажам корпоративным клиентам,Sales (общее),Точка Банк,Тольятти,От 1 года до 3 лет,"Удалённо, Гибрид",100000.0,,RUB,"активные продажи, акты, больничные, выполнение плана, гибка, зарплата, счета","контроль, обратная связь, развитие, сервис",,https://hh.ru/vacancy/133603360
134526346,Менеджер по привлечению клиентов среднего бизнеса,Прочее,Точка Банк,Химки (Московская область),От 1 года до 3 лет,Удалённо,140000.0,,RUB,"активные продажи, акты, больничные, зарплата, корпоративы, переговоры, счета, ту, холодные звонки","обратная связь, развитие, сервис",,https://hh.ru/vacancy/134526346
134496330,Менеджер активных продаж,Sales (общее),Точка Банк,Санкт-Петербург,От 1 года до 3 лет,"На месте работодателя, Удалённо, Гибрид",140000.0,,RUB,"активные продажи, акты, больничные, зарплата, корпоративы, переговоры, счета, ту, холодные звонки","обратная связь, развитие, сервис",,https://hh.ru/vacancy/134496330
134757276,Менеджер по продажам (СЗФО),Sales (общее),Biglion,Санкт-Петербург,От 3 до 6 лет,Удалённо,150000.0,,RUB,"b2b продажи, активные продажи, гибка, подарки, развитие бизнеса, ту, холодные звонки, холодные продажи","контроль, переговоры, развитие, самостоятельность, телефонные переговоры",,https://hh.ru/vacancy/134757276
132668317,Ведущий менеджер по продажам среднему и крупному бизнесу,Sales (общее),Т-Банк,Ярославль,От 1 года до 3 лет,"Удалённо, Разъездной",145000.0,,RUB,"баланс, вэд, коммерческое предложение, счета, ту, холодные звонки","взаимодействие, гибкость, переговоры, развитие",,https://hh.ru/vacancy/132668317
134757485,"Менеджер корпоративных продаж (услуги,ЮФО)",Sales (общее),Biglion,Краснодар,От 1 года до 3 лет,Удалённо,120000.0,,RUB,"b2b продажи, активные продажи, гибка, подарки, развитие бизнеса, ту, холодные звонки, холодные продажи","контроль, переговоры, развитие, самостоятельность, телефонные переговоры",,https://hh.ru/vacancy/134757485
134808534,Ведущий менеджер по продажам,Sales (общее),Zoon.ru,Санкт-Петербург,От 1 года до 3 лет,Удалённо,150000.0,,RUB,"b2b продажи, активные продажи, больничные, заключение договоров, зарплата, корпоративы, малый и средний бизнес, план продаж, презентации, средний чек, ту, холодные звонки, холодные продажи","организация, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/134808534
134693135,Начинающий менеджер по продажам,Sales (общее),Точка Банк,Москва,Нет опыта,"На месте работодателя, Удалённо, Гибрид",100000.0,,RUB,"b2b продажи, активные продажи, больничные, выполнение плана, выявление потребностей, зарплата, корпоративы, план продаж, счета, ту","деловая переписка, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/134693135
134847032,Менеджер по продажам B2B (home-office),Sales (общее),VICTORY group,Казань,От 1 года до 3 лет,Удалённо,120000.0,200000.0,RUB,"b2b продажи, активные продажи, заключение договоров, план продаж, презентации, презентация продукта, работа с возражениями","деловое общение, инициативность, многозадачность, нацеленность на результат, ответственность, переговоры, развитие, телефонные переговоры",,https://hh.ru/vacancy/134847032
134756676,Менеджер корпоративных продаж (Урал),Sales (общее),Biglion,Екатеринбург,От 3 до 6 лет,Удалённо,120000.0,,RUB,"b2b продажи, активные продажи, гибка, подарки, развитие бизнеса, ту, холодные звонки, холодные продажи","контроль, переговоры, развитие, самостоятельность, телефонные переговоры",,https://hh.ru/vacancy/134756676
134847078,Менеджер по продажам ORM-service (home-office),Sales (общее),VICTORY group,Москва,От 1 года до 3 лет,Удалённо,120000.0,,RUB,"b2b продажи, активные продажи, заключение договоров, план продаж, презентации, презентация продукта, работа с возражениями","деловое общение, инициативность, многозадачность, нацеленность на результат, ответственность, переговоры, развитие, телефонные переговоры",,https://hh.ru/vacancy/134847078
134701867,"Менеджер корпоративных продаж (услуги, Сибирь)",Sales (общее),Biglion,Новосибирск,От 3 до 6 лет,Удалённо,120000.0,,RUB,"b2b продажи, активные продажи, гибка, подарки, развитие бизнеса, ту, холодные звонки, холодные продажи","контроль, переговоры, развитие, самостоятельность, телефонные переговоры",,https://hh.ru/vacancy/134701867
133899216,Менеджер по B2B‑продажам,Sales (общее),Zoon.ru,Нижний Новгород,От 1 года до 3 лет,Удалённо,120000.0,,RUB,"b2b продажи, активные продажи, больничные, заключение договоров, зарплата, корпоративы, малый и средний бизнес, план продаж","наставничество, нацеленность на результат, организация, переговоры, презентации, профессиональный рост, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/133899216
134802415,Менеджер по продажам корпоративным клиентам,Sales (общее),Точка Банк,Волгоград,От 1 года до 3 лет,Удалённо,100000.0,,RUB,"активные продажи, акты, больничные, ведение переговоров, выполнение плана, гибка, заключение договоров, зарплата, переговоры, презентации, работа с возражениями, счета","контроль, обратная связь, организация, развитие, сервис",,https://hh.ru/vacancy/134802415
134802413,Менеджер по продажам корпоративным клиентам,Sales (общее),Точка Банк,Астрахань,От 1 года до 3 лет,Удалённо,100000.0,,RUB,"активные продажи, акты, больничные, ведение переговоров, выполнение плана, гибка, заключение договоров, зарплата, переговоры, презентации, работа с возражениями, счета","контроль, обратная связь, организация, развитие, сервис",,https://hh.ru/vacancy/134802413
134210104,Менеджер по продажам сервиса онлайн-бухгалтерии,Sales (общее),Точка Банк,Казань,От 1 года до 3 лет,"На месте работодателя, Удалённо, Гибрид",150000.0,,RUB,"акты, больничные, выполнение плана, гибка, зарплата, счета","контроль, обратная связь, развитие, сервис",1с,https://hh.ru/vacancy/134210104
134802409,Менеджер по продажам корпоративным клиентам,Sales (общее),Точка Банк,Самара,От 1 года до 3 лет,Удалённо,100000.0,,RUB,"активные продажи, акты, больничные, ведение переговоров, выполнение плана, гибка, заключение договоров, зарплата, переговоры, презентации, работа с возражениями, счета","контроль, обратная связь, организация, развитие, сервис",,https://hh.ru/vacancy/134802409
134585129,Менеджер по продажам корпоративным клиентам,Sales (общее),Точка Банк,Санкт-Петербург,От 1 года до 3 лет,Удалённо,100000.0,,RUB,"активные продажи, акты, больничные, выполнение плана, гибка, зарплата, план продаж, счета","контроль, обратная связь, развитие, сервис",,https://hh.ru/vacancy/134585129
134802412,Менеджер по продажам корпоративным клиентам,Sales (общее),Точка Банк,Саратов,От 1 года до 3 лет,Удалённо,100000.0,,RUB,"активные продажи, акты, больничные, ведение переговоров, выполнение плана, гибка, заключение договоров, зарплата, переговоры, презентации, работа с возражениями, счета","контроль, обратная связь, организация, развитие, сервис",,https://hh.ru/vacancy/134802412
134802411,Менеджер по продажам корпоративным клиентам,Sales (общее),Точка Банк,Оренбург,От 1 года до 3 лет,Удалённо,100000.0,,RUB,"активные продажи, акты, больничные, ведение переговоров, выполнение плана, гибка, заключение договоров, зарплата, переговоры, презентации, работа с возражениями, счета","контроль, обратная связь, организация, развитие, сервис",,https://hh.ru/vacancy/134802411
134717434,Менеджер по продажам продуктов для бизнеса,Sales (общее),Точка Банк,Сочи,От 1 года до 3 лет,"Удалённо, Гибрид",100000.0,,RUB,"b2b продажи, активные продажи, акты, больничные, выполнение плана, гибка, зарплата, коммерческое предложение, холодные продажи","контроль, обратная связь, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/134717434
133777873,Менеджер отдела продаж В2В,Sales (общее),Zoon.ru,Воронеж,От 1 года до 3 лет,Удалённо,120000.0,,RUB,"b2b продажи, активные продажи, больничные, заключение договоров, зарплата, корпоративы, малый и средний бизнес, план продаж, презентации, средний чек, ту, холодные звонки, холодные продажи","организация, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/133777873
133522602,Менеджер по продажам продуктов для бизнеса,Sales (общее),Точка Банк,Химки (Московская область),От 1 года до 3 лет,"На месте работодателя, Удалённо",100000.0,,RUB,"b2b продажи, активные продажи, акты, больничные, выполнение плана, гибка, зарплата, коммерческое предложение, холодные продажи","контроль, обратная связь, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/133522602
134717381,Менеджер по продажам продуктов для бизнеса,Sales (общее),Точка Банк,Челябинск,От 1 года до 3 лет,"Удалённо, Гибрид",100000.0,,RUB,"b2b продажи, активные продажи, акты, больничные, выполнение плана, гибка, зарплата, коммерческое предложение, холодные продажи","контроль, обратная связь, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/134717381
134521045,Старший менеджер по продажам (B2B в IT компанию),Sales (общее),Zoon.ru,Волгоград,От 1 года до 3 лет,Удалённо,120000.0,,RUB,"b2b продажи, активные продажи, больничные, заключение договоров, зарплата, корпоративы, малый и средний бизнес, план продаж, презентации, средний чек, ту, холодные продажи","организация, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/134521045
134584126,Менеджер по продажам корпоративным клиентам,Sales (общее),Точка Банк,Краснодар,От 1 года до 3 лет,"Удалённо, Гибрид",100000.0,,RUB,"активные продажи, акты, больничные, выполнение плана, гибка, зарплата, план продаж, счета","контроль, обратная связь, развитие, сервис",,https://hh.ru/vacancy/134584126
134822379,Руководитель отдела продаж (SEO продвижение),Sales (общее),Эра Продвижения,Минск,От 1 года до 3 лет,Удалённо,150000.0,300000.0,RUB,контроль качества,"аналитическое мышление, взаимодействие, контроль, развитие, управление командой",,https://hh.ru/vacancy/134822379
133522691,Менеджер по продажам продуктов для бизнеса,Sales (общее),Точка Банк,Подольск (Московская область),От 1 года до 3 лет,"На месте работодателя, Удалённо",100000.0,,RUB,"b2b продажи, активные продажи, акты, больничные, выполнение плана, гибка, зарплата, коммерческое предложение, холодные продажи","контроль, обратная связь, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/133522691
134717538,Менеджер по продажам продуктов для бизнеса,Sales (общее),Точка Банк,Уфа,От 1 года до 3 лет,"Удалённо, Гибрид",100000.0,,RUB,"b2b продажи, активные продажи, акты, больничные, выполнение плана, гибка, зарплата, коммерческое предложение, холодные продажи","контроль, обратная связь, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/134717538
133522353,Менеджер по продажам продуктов для бизнеса,Sales (общее),Точка Банк,Балашиха (Московская область),От 1 года до 3 лет,Удалённо,100000.0,,RUB,"b2b продажи, активные продажи, акты, больничные, выполнение плана, гибка, зарплата, коммерческое предложение, холодные продажи","контроль, обратная связь, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/133522353
134584125,Менеджер по продажам корпоративным клиентам,Sales (общее),Точка Банк,Нижний Новгород,От 1 года до 3 лет,Удалённо,100000.0,,RUB,"активные продажи, акты, больничные, выполнение плана, гибка, зарплата, план продаж, счета","контроль, обратная связь, развитие, сервис",,https://hh.ru/vacancy/134584125
133522192,Менеджер по продажам продуктов для бизнеса,Sales (общее),Точка Банк,Королев (Московская область),От 1 года до 3 лет,Удалённо,100000.0,,RUB,"b2b продажи, активные продажи, акты, больничные, выполнение плана, гибка, зарплата, коммерческое предложение, холодные продажи","контроль, обратная связь, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/133522192
134331252,Менеджер по привлечению и развитию партнеров (POS-кредитование/BNPL),Прочее,Т-Банк,Хабаровск,От 1 года до 3 лет,"Удалённо, Разъездной",,,RUB,"коммерческое предложение, план продаж, счета, тёплые звонки","организация, переговоры, презентации",ms office,https://hh.ru/vacancy/134331252
134041548,Менеджер по продажам сервиса онлайн-бухгалтерии,Sales (общее),Точка Банк,Екатеринбург,От 1 года до 3 лет,"На месте работодателя, Удалённо, Гибрид",150000.0,,RUB,"акты, больничные, выполнение плана, гибка, зарплата, счета","контроль, обратная связь, развитие, сервис",1с,https://hh.ru/vacancy/134041548
134246362,Менеджер по работе с B2B‑клиентами (Авто.ру),Прочее,Т-Банк,Самара,От 1 года до 3 лет,Удалённо,70000.0,,RUB,,развитие,,https://hh.ru/vacancy/134246362
134087521,Менеджер по привлечению и развитию партнеров (POS-кредитование/BNPL),Прочее,Т-Банк,Нижневартовск,От 1 года до 3 лет,"Удалённо, Разъездной",,,RUB,"коммерческое предложение, план продаж, счета, тёплые звонки","организация, переговоры, презентации",ms office,https://hh.ru/vacancy/134087521
134087564,Менеджер по привлечению и развитию партнеров (POS-кредитование/BNPL),Прочее,Т-Банк,Сургут,От 1 года до 3 лет,"Удалённо, Разъездной",,,RUB,"коммерческое предложение, план продаж, счета, тёплые звонки","организация, переговоры, презентации",ms office,https://hh.ru/vacancy/134087564
134246361,Менеджер по работе с B2B‑клиентами (Авто.ру),Прочее,Т-Банк,Ростов-на-Дону,От 1 года до 3 лет,Удалённо,70000.0,,RUB,,развитие,,https://hh.ru/vacancy/134246361
133857768,Старший менеджер по продажам digital-услуг (B2B),Enterprise/SaaS Sales,Zoon.ru,Ростов-на-Дону,От 1 года до 3 лет,Удалённо,130000.0,,RUB,"b2b продажи, b2c продажи, активные продажи, больничные, воронка продаж, заключение договоров, зарплата, корпоративы, малый и средний бизнес, план продаж, презентации, средний чек, ту, холодные звонки, холодные продажи","организация, переговоры, развитие, сервис, телефонные переговоры",,https://hh.ru/vacancy/133857768
